"filename", "language", "C++", "HTML", "C#", "ASP.NET Razor", "JavaScript", "CSS", "JSON", "XML", "comment", "blank", "total"
"c:\Users\Pioter\Desktop\CinemaApp\CinemaApp\CinemaApp\Areas\Identity\Pages\Account\ConfirmEmail.cshtml", "ASP.NET Razor", 0, 0, 0, -9, 0, 0, 0, 0, 0, -2, -11
"c:\Users\Pioter\Desktop\CinemaApp\CinemaApp\CinemaApp\Areas\Identity\Pages\Account\ConfirmEmail.cshtml.cs", "C#", 0, 0, -39, 0, 0, 0, 0, 0, -6, -7, -52
"c:\Users\Pioter\Desktop\CinemaApp\CinemaApp\CinemaApp\Areas\Identity\Pages\Account\Login.cshtml", "ASP.NET Razor", 0, 0, 0, -35, 0, 0, 0, 0, 0, -4, -39
"c:\Users\Pioter\Desktop\CinemaApp\CinemaApp\CinemaApp\Areas\Identity\Pages\Account\Login.cshtml.cs", "C#", 0, 0, -83, 0, 0, 0, 0, 0, -38, -20, -141
"c:\Users\Pioter\Desktop\CinemaApp\CinemaApp\CinemaApp\Areas\Identity\Pages\Account\Manage\ChangePassword.cshtml", "ASP.NET Razor", 0, 0, 0, -34, 0, 0, 0, 0, 0, -3, -37
"c:\Users\Pioter\Desktop\CinemaApp\CinemaApp\CinemaApp\Areas\Identity\Pages\Account\Manage\ChangePassword.cshtml.cs", "C#", 0, 0, -85, 0, 0, 0, 0, 0, -26, -17, -128
"c:\Users\Pioter\Desktop\CinemaApp\CinemaApp\CinemaApp\Areas\Identity\Pages\Account\Manage\DeletePersonalData.cshtml", "ASP.NET Razor", 0, 0, 0, -35, 0, 0, 0, 0, 0, -5, -40
"c:\Users\Pioter\Desktop\CinemaApp\CinemaApp\CinemaApp\Areas\Identity\Pages\Account\Manage\DeletePersonalData.cshtml.cs", "C#", 0, 0, -71, 0, 0, 0, 0, 0, -18, -15, -104
"c:\Users\Pioter\Desktop\CinemaApp\CinemaApp\CinemaApp\Areas\Identity\Pages\Account\Manage\Email.cshtml", "ASP.NET Razor", 0, 0, 0, -42, 0, 0, 0, 0, 0, -3, -45
"c:\Users\Pioter\Desktop\CinemaApp\CinemaApp\CinemaApp\Areas\Identity\Pages\Account\Manage\Email.cshtml.cs", "C#", 0, 0, -128, 0, 0, 0, 0, 0, -26, -27, -181
