"filename", "language", "XML", "JSON", "C#", "comment", "blank", "total"
"c:\Users\Pioter\Desktop\CinemaApp\CinemaApp\CinemaApp.Application.Tests\ApplicationUser\CurrentUserTests.cs", "C#", 0, 0, 35, 9, 9, 53
"c:\Users\Pioter\Desktop\CinemaApp\CinemaApp\CinemaApp.Application.Tests\ApplicationUser\UserContextTests.cs", "C#", 0, 0, 40, 3, 6, 49
"c:\Users\Pioter\Desktop\CinemaApp\CinemaApp\CinemaApp.Application.Tests\CinemaApp.Application.Tests.csproj", "XML", 22, 0, 0, 0, 6, 28
"c:\Users\Pioter\Desktop\CinemaApp\CinemaApp\CinemaApp.Application.Tests\CinemaApp\Commands\CreateMovieShow\CreateMovieShowCommandHandlerTests.cs", "C#", 0, 0, 76, 9, 18, 103
"c:\Users\Pioter\Desktop\CinemaApp\CinemaApp\CinemaApp.Application.Tests\CinemaApp\Commands\CreateMovieShow\CreateMovieShowCommandValidatorTests.cs", "C#", 0, 0, 76, 9, 17, 102
"c:\Users\Pioter\Desktop\CinemaApp\CinemaApp\CinemaApp.Application.Tests\CinemaApp\Commands\CreateMovie\CreateMovieCommandHandlerTests.cs", "C#", 0, 0, 98, 9, 20, 127
"c:\Users\Pioter\Desktop\CinemaApp\CinemaApp\CinemaApp.Application.Tests\CinemaApp\Commands\CreateMovie\CreateMovieCommandValidatorTests.cs", "C#", 0, 0, 84, 9, 11, 104
"c:\Users\Pioter\Desktop\CinemaApp\CinemaApp\CinemaApp.Application.Tests\CinemaApp\Commands\CreateRating\CreateRatingCommandHandlerTests.cs", "C#", 0, 0, 65, 6, 14, 85
"c:\Users\Pioter\Desktop\CinemaApp\CinemaApp\CinemaApp.Application.Tests\CinemaApp\Commands\CreateRating\CreateRatingCommandValidatorTests.cs", "C#", 0, 0, 56, 9, 13, 78
"c:\Users\Pioter\Desktop\CinemaApp\CinemaApp\CinemaApp.Application.Tests\CinemaApp\Commands\EditMovieShow\EditMovieShowCommandHandlerTests.cs", "C#", 0, 0, 216, 9, 30, 255
"c:\Users\Pioter\Desktop\CinemaApp\CinemaApp\CinemaApp.Application.Tests\CinemaApp\Commands\EditMovieShow\EditMovieShowCommandValidatorTests.cs", "C#", 0, 0, 96, 9, 12, 117
"c:\Users\Pioter\Desktop\CinemaApp\CinemaApp\CinemaApp.Application.Tests\CinemaApp\Commands\EditMovie\EditMovieCommandHandlerTests.cs", "C#", 0, 0, 119, 9, 21, 149
"c:\Users\Pioter\Desktop\CinemaApp\CinemaApp\CinemaApp.Application.Tests\CinemaApp\Commands\EditMovie\EditMovieCommandValidatorTests.cs", "C#", 0, 0, 71, 6, 6, 83
"c:\Users\Pioter\Desktop\CinemaApp\CinemaApp\CinemaApp.Application.Tests\Mappings\CinemaAppMappingProfileTests.cs", "C#", 0, 0, 253, 21, 37, 311
"c:\Users\Pioter\Desktop\CinemaApp\CinemaApp\CinemaApp.Application.Tests\libman.json", "JSON", 0, 5, 0, 0, 0, 5
"c:\Users\Pioter\Desktop\CinemaApp\CinemaApp\CinemaApp.Infrastructure\CinemaApp.Infrastructure.csproj", "XML", -23, 0, 0, 0, -5, -28
"c:\Users\Pioter\Desktop\CinemaApp\CinemaApp\CinemaApp.Infrastructure\Extensions\ServiceCollectionExtension.cs", "C#", 0, 0, -38, 0, -7, -45
"c:\Users\Pioter\Desktop\CinemaApp\CinemaApp\CinemaApp.Infrastructure\Persistance\CinemaAppDbContext.cs", "C#", 0, 0, -60, 0, -14, -74
"c:\Users\Pioter\Desktop\CinemaApp\CinemaApp\CinemaApp.Infrastructure\Repositories\AgeRatingRepository.cs", "C#", 0, 0, -21, 0, -5, -26
"c:\Users\Pioter\Desktop\CinemaApp\CinemaApp\CinemaApp.Infrastructure\Repositories\HallRepository.cs", "C#", 0, 0, -20, 0, -5, -25
"c:\Users\Pioter\Desktop\CinemaApp\CinemaApp\CinemaApp.Infrastructure\Repositories\IdentityRepository.cs", "C#", 0, 0, -98, 0, -23, -121
"c:\Users\Pioter\Desktop\CinemaApp\CinemaApp\CinemaApp.Infrastructure\Repositories\MovieRepository.cs", "C#", 0, 0, -62, 0, -14, -76
"c:\Users\Pioter\Desktop\CinemaApp\CinemaApp\CinemaApp.Infrastructure\Repositories\MovieShowRepository.cs", "C#", 0, 0, -104, 0, -20, -124
"c:\Users\Pioter\Desktop\CinemaApp\CinemaApp\CinemaApp.Infrastructure\Repositories\RatingRepository.cs", "C#", 0, 0, -35, 0, -7, -42
"c:\Users\Pioter\Desktop\CinemaApp\CinemaApp\CinemaApp.Infrastructure\Repositories\SeatRepository.cs", "C#", 0, 0, -26, 0, -5, -31
"c:\Users\Pioter\Desktop\CinemaApp\CinemaApp\CinemaApp.Infrastructure\Repositories\StripeRepository.cs", "C#", 0, 0, -65, 0, -12, -77
"c:\Users\Pioter\Desktop\CinemaApp\CinemaApp\CinemaApp.Infrastructure\Repositories\TicketRepository.cs", "C#", 0, 0, -197, 0, -41, -238
"c:\Users\Pioter\Desktop\CinemaApp\CinemaApp\CinemaApp.Infrastructure\Seeders\CinemaAppSeeder.cs", "C#", 0, 0, -199, 0, -16, -215
"Total", "-", -1, 5, 360, 117, 46, 527
